FAC1_1,FAC2_1,FAC3_1,FAC4_1
0.175163986,-0.598297059,-1.134448944,-0.280691335
-1.290991468,1.505275583,-1.670855086,-0.932546416
0.290912574,1.859723073,0.011532808,-0.692887681
0.661400667,0.336902949,-1.059642794,1.748283801
2.459134122,-0.673123036,-1.813089345,0.553156332
0.403299679,-0.284517665,1.773173326,1.873840865
0.78158925,1.332852402,1.164029839,-0.819932116
0.085994468,1.795891458,-0.92198926,-0.639973643
-0.507751715,-0.306835944,-0.472427813,-0.127350974
-0.843439054,0.037859345,0.770088167,1.421884271
-1.429567636,1.603370446,-0.157941353,-0.710271025
-0.432953494,0.513048743,1.410829859,0.71950557
0.077490759,1.569981561,-1.033216764,-0.46736061
0.246619295,-0.240462327,0.579799191,0.400126535
-0.965338582,-0.992125698,-1.699814682,0.309427941
0.530711131,1.044074376,1.562636719,-1.353204805
0.102454758,0.396328537,-0.293152337,-1.094730311
1.171611389,1.41140878,-0.70909161,-1.223148221
-0.600617321,1.694526828,1.124212242,-0.9092566
1.850491606,-1.542744885,-0.651119762,0.460745065
0.899415529,-1.144130997,1.737143515,0.844267593
0.78143091,-0.383650305,-0.189371475,0.355726931
-0.574084496,0.444039067,-0.735384649,-0.995296955
0.1696118,1.57048442,0.661407393,-0.734748394
0.32622144,0.645029893,1.641544801,-1.204501622
0.636273744,1.954068738,1.13930199,-0.781811876
0.955194917,1.577980042,1.607841758,-1.295486729
-0.230565175,1.134112759,1.049702763,-1.155401718
0.835666489,0.793221415,-1.329866211,-1.575322729
-1.137737457,-0.89849747,0.171381878,1.822841298
-0.870864949,0.078353744,0.30322594,1.322141055
0.968169329,1.818461199,-0.669708511,-0.975506658
-0.537206473,0.668159734,1.55478885,-1.42801587
0.208201461,1.525463779,-0.553754943,-0.873490478
0.710600504,-0.88579397,1.079490282,0.071762371
0.803418997,0.93733533,1.615833836,-1.008006539
1.392206535,0.550914871,0.518668007,-1.486357751
-1.314312815,1.194746626,-1.109914451,-0.920871421
-0.578677656,0.61452456,-0.388965363,-1.301293024
-1.409110888,2.038374442,-0.194778959,-0.693557649
0.270075793,0.789232698,-0.75663356,-0.992943505
0.94248483,-0.000232164,0.951735183,1.1170564
2.495087597,-0.395447214,-1.86635213,-0.298116662
-0.577394655,0.838565429,1.613671917,-0.997141403
-0.535060392,-0.922485521,-0.890361072,-0.645372834
-0.092141916,-0.949388186,1.111955988,0.507034041
-1.174057223,0.144106392,-0.253659272,0.590240922
-0.36622811,0.942806157,-0.780202729,-0.737878886
-0.639022021,-1.229525731,1.231686471,0.17637302
-0.356971893,0.789614256,1.515584569,-1.482204232
-0.475416762,-0.639916527,1.212298899,0.064919836
0.390691417,-0.565112425,0.607542294,0.563062391
-0.513069005,-0.691356083,-0.932953091,1.398502696
0.620985069,-0.895669587,1.469710181,-0.993042106
0.522253574,-0.839106031,1.12579824,0.411979582
-0.962949586,-1.129531971,-1.701701647,0.14303
-0.27890689,1.039556112,0.137952315,-0.652798171
0.257367488,-0.718968887,1.28296326,1.029855893
-1.193600278,-0.502783825,-1.251560574,-0.537163277
0.717334005,0.721510513,1.039671278,-1.420118248
-1.067704509,-0.654361832,0.072051279,-0.450723645
0.709744998,-0.895610389,1.786527158,1.286027649
2.423756912,-0.334207861,-1.011933959,0.227870965
-0.517726698,0.037219874,1.263044933,1.046268992
-1.302519517,0.630031019,-1.640979598,-1.390787403
2.517072543,0.043017659,-1.910892807,0.813111663
1.24432674,-0.651055689,-0.137340458,-0.627362838
-0.879944834,1.10758375,1.082313027,-0.922418886
-1.260642109,0.683427602,-1.699558568,1.567291673
-0.510287495,0.707627101,-0.959816561,-1.667261464
1.043271731,-0.694112716,1.045103784,0.966500239
1.163916556,0.660775943,-0.686991565,-1.372770175
1.986877017,0.123978713,-0.279284457,0.281627081
0.854079557,-0.286832094,0.392422012,0.107008691
-0.878470294,-0.8158651,-1.836802435,1.708965198
1.699342225,1.920587626,-0.131174629,-0.751723462
0.167222848,1.659697948,0.662059358,-0.749085894
0.050977337,1.585549525,-0.233513096,-0.749465705
0.356125336,1.351552485,1.100912889,-0.736898
2.063969849,-0.661242697,-0.73234134,2.190537054
-0.178452932,-0.797833722,1.731696999,1.532974238
